user_id,artista
11162160084,Richard Marx
11178273764,Mano Arriba
21gt55n63swkgukdfd5tvfyni,Dímelo Flow
11162160084,Foreigner
11178273764,JAY-Z
21gt55n63swkgukdfd5tvfyni,Critika y Saik
11162160084,Heart
21gt55n63swkgukdfd5tvfyni,Sech
21gt55n63swkgukdfd5tvfyni,KYOTTO
11162160084,Elton John
21gt55n63swkgukdfd5tvfyni,OneRepublic
21gt55n63swkgukdfd5tvfyni,Juanfran
11178273764,Don Diablo
11162160084,Roxette
11162160084,Vance Joy
21gt55n63swkgukdfd5tvfyni,Tiago PZK
11162160084,Whitesnake
11162160084,Andrés Calamaro
11162160084,SLANDER
11178273764,DJ Snake
11162160084,Oasis
11178273764,
21gt55n63swkgukdfd5tvfyni,Emanero
21gt55n63swkgukdfd5tvfyni,Oscu
11162160084,
21gt55n63swkgukdfd5tvfyni,G Sony
21gt55n63swkgukdfd5tvfyni,Lytos
11162160084,Keane
11162160084,TOTO
21gt55n63swkgukdfd5tvfyni,La T y La M
21gt55n63swkgukdfd5tvfyni,Myke Towers
21gt55n63swkgukdfd5tvfyni,La Kuppe
21gt55n63swkgukdfd5tvfyni,
11162160084,Scorpions
21gt55n63swkgukdfd5tvfyni,Kevin Roldan
11162160084,Twenty One Pilots
21gt55n63swkgukdfd5tvfyni,Legarda
11162160084,Joe Cocker
11162160084,Genesis
11162160084,Johnny Logan
11162160084,Rod Stewart
11162160084,Phil Collins
11162160084,Olivia Rodrigo
21gt55n63swkgukdfd5tvfyni,Perro Primo
21gt55n63swkgukdfd5tvfyni,Yan Block
21gt55n63swkgukdfd5tvfyni,The La Planta
11162160084,Chris de Burgh
11162160084,Bastille
21gt55n63swkgukdfd5tvfyni,Diel Paris
21gt55n63swkgukdfd5tvfyni,Pablo Chill-E
11162160084,Lionel Richie
21gt55n63swkgukdfd5tvfyni,Mora
21gt55n63swkgukdfd5tvfyni,Mike Towe
11178273764,Migrantes
11178273764,Jack Ü
21gt55n63swkgukdfd5tvfyni,Dante
11178273764,R3HAB
11178273764,Skrillex
11162160084,CORBAL
21gt55n63swkgukdfd5tvfyni,Bruno LC
21gt55n63swkgukdfd5tvfyni,Nio Garcia
21gt55n63swkgukdfd5tvfyni,Ed Sheeran
21gt55n63swkgukdfd5tvfyni,Rei
21gt55n63swkgukdfd5tvfyni,De La Ghetto
11178273764,Gazzo
11162160084,OneRepublic
11162160084,M83
21gt55n63swkgukdfd5tvfyni,BM
11178273764,Linkin Park
21gt55n63swkgukdfd5tvfyni,Kaleb Di Masi
21gt55n63swkgukdfd5tvfyni,Trueno
21gt55n63swkgukdfd5tvfyni,Rauw Alejandro
11178273764,Tujamo
11162160084,Cruzando El Charco
11162160084,Alphaville
21gt55n63swkgukdfd5tvfyni,Jupa Necasek
11162160084,Los Huayra
21gt55n63swkgukdfd5tvfyni,Los Ángeles Azules
11162160084,demxntia
11162160084,Michael Bolton
21gt55n63swkgukdfd5tvfyni,Rvfv
21gt55n63swkgukdfd5tvfyni,Bad Bunny
21gt55n63swkgukdfd5tvfyni,Fuego
21gt55n63swkgukdfd5tvfyni,Tainy
21gt55n63swkgukdfd5tvfyni,Dalex
21gt55n63swkgukdfd5tvfyni,MVSI
21gt55n63swkgukdfd5tvfyni,Super Yei
21gt55n63swkgukdfd5tvfyni,Axel Caram
21gt55n63swkgukdfd5tvfyni,Salastkbron
21gt55n63swkgukdfd5tvfyni,La Joaqui
21gt55n63swkgukdfd5tvfyni,Alex Rose
11162160084,a-ha
11178273764,Deorro
21gt55n63swkgukdfd5tvfyni,Cyclo
21gt55n63swkgukdfd5tvfyni,Ke Personajes
21gt55n63swkgukdfd5tvfyni,Bryant Myers
21gt55n63swkgukdfd5tvfyni,Ozuna
11162160084,Joji
21gt55n63swkgukdfd5tvfyni,Anuel AA
11162160084,Ruel
21gt55n63swkgukdfd5tvfyni,Paulo Londra
